salesDate,articleGroupDescription,brandDescription,Inhouse_Brand,quantity,category,retailPrice,season
2026-12-31,Casual shirt LS,The BLUEPRINT Premium,Internal,280.0,Forecasted Sales,6903.43,Year Round
2026-12-31,V-neck sweater,Campbell,Internal,1413.0,Forecasted Sales,61930.55,Year Round
2026-12-31,V-neck sweater,Others,External,1012.0,Forecasted Sales,105146.8,Year Round
2026-12-31,V-neck sweater,Recall,Internal,84.0,Forecasted Sales,4768.74,Year Round
2026-12-31,V-neck sweater,The BLUEPRINT Premium,Internal,213.0,Forecasted Sales,8304.21,Year Round
2026-12-31,Suit,Dutch Dandies,Internal,633.0,Forecasted Sales,129959.49,Year Round
2026-12-31,Suit,Others,External,64.0,Forecasted Sales,26720.0,Year Round
2026-12-31,Suit,Recall,Internal,1809.0,Forecasted Sales,426507.47,Year Round
2026-12-31,Suit,Runway PARTY,Internal,73.0,Forecasted Sales,6944.18,Year Round
2026-12-31,Trendy shirt LS,Others,External,14.0,Forecasted Sales,912.8,Year Round
2026-12-31,Trendy shirt LS,The BLUEPRINT Premium,Internal,32567.0,Forecasted Sales,1109388.94,Year Round
2026-12-31,Dress Shirt LS,Donkervoort,Internal,11.0,Forecasted Sales,277.72,Year Round
2026-12-31,Dress Shirt LS,Dutch Dandies,Internal,3173.0,Forecasted Sales,206017.46,Year Round
2026-12-31,Dress Shirt LS,Others,External,21311.0,Forecasted Sales,1979791.9,Year Round
2026-12-31,Dress Shirt LS,Recall,Internal,49.0,Forecasted Sales,1101.06,Year Round
2026-12-31,Dress Shirt LS,The BLUEPRINT Premium,Internal,3390.0,Forecasted Sales,116653.09,Year Round
2026-12-31,Jacket,Campbell,Internal,3480.0,Forecasted Sales,397878.99,Year Round
2026-12-31,Jacket,Donkervoort,Internal,9.0,Forecasted Sales,548.64,Year Round
2026-12-31,Jacket,Dutch Dandies,Internal,3387.0,Forecasted Sales,522546.38,Year Round
2026-12-31,Jacket,Others,External,1719.0,Forecasted Sales,427859.1,Year Round
2026-12-31,Jacket,Runway PARTY,Internal,216.0,Forecasted Sales,39600.15,Year Round
2026-12-31,Jacket,The BLUEPRINT Premium,Internal,558.0,Forecasted Sales,55852.85,Year Round
